Codigo,Asignatura,Creditos,Tipo
1000003-B,Álgebra Lineal,4,FUND. OPTATIVA (O)
2015555,Álgebra lineal básica,4,FUND. OPTATIVA (O)
2016696,Algoritmos,3,FUND. OBLIGATORIA (B)
2016697,Arquitectura de computadores,3,DISCIPLINAR OBLIGATORIA (C)
2025983,Arquitectura de infraestructura y gobierno de tics,3,DISCIPLINAR OBLIGATORIA (C)
2016716,Arquitectura de Software,3,DISCIPLINAR OBLIGATORIA (C)
2016353,Bases de datos,3,DISCIPLINAR OBLIGATORIA (C)
1000004-B,Cálculo diferencial,4,FUND. OPTATIVA (O)
1000006-B,Cálculo en varias variables,4,FUND. OPTATIVA (O)
1000005-B,Cálculo Integral,4,FUND. OPTATIVA (O)
2015556,Cálculo integral en una variable,4,FUND. OPTATIVA (O)
2015162,Calculo vectorial,4,FUND. OPTATIVA (O)
2025965,"Complemento a teoría de la computación 
ASIGNATURA SIN PROGRAMAR",1,FUND. OBLIGATORIA (B)
2016722,Computación paralela y distribuida,3,DISCIPLINAR OBLIGATORIA (C)
2025960,Computación visual,3,DISCIPLINAR OBLIGATORIA (C)
2016492,Comunicaciones,3,DISCIPLINAR OPTATIVA (T)
2016028,"Diseño, gestión y evaluación de proyectos",4,FUND. OPTATIVA (O)
1000007-B,Ecuaciones Diferenciales,4,FUND. OPTATIVA (O)
2016698,Elementos de computadores,3,DISCIPLINAR OPTATIVA (T)
2016699,Estructuras de datos,3,DISCIPLINAR OBLIGATORIA (C)
1000017-B,Fundamentos de electricidad y magnetismo,4,FUND. OBLIGATORIA (B)
1000019-B,Fundamentos de mecánica,4,FUND. OBLIGATORIA (B)
2015702,Gerencia y gestión de proyectos,3,FUND. OPTATIVA (O)
2016701,Ingeniería de software I,3,DISCIPLINAR OBLIGATORIA (C)
2016702,Ingeniería de software II,3,DISCIPLINAR OBLIGATORIA (C)
2015703,Ingeniería económica,3,FUND. OPTATIVA (O)
2025986,Ingeniería económica y análisis de riesgo,3,FUND. OPTATIVA (O)
1000044-B,Inglés I- Semestral,3,NIVELACIÓN (E)
1000048-B,"Inglés I- Virtual
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
1000045-B,Inglés II - Semestral,3,NIVELACIÓN (E)
1000049-B,"Inglés II - Virtual
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2023925,"Inglés II- Intensivo
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
1000046-B,Inglés III - Semestral,3,NIVELACIÓN (E)
1000050-B,"Inglés III- Virtual
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2023926,"Inglés III-Intensivo
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2024731,"Inglés intensivo I
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
1000052-B,Inglés Intensivo I y II,6,NIVELACIÓN (E)
2022291,"Inglés intensivo II
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2021183,"Inglés Intensivo II y III
ASIGNATURA SIN PROGRAMAR",6,NIVELACIÓN (E)
1000053-B,Inglés Intensivo III y IV,6,NIVELACIÓN (E)
2021184,"Inglés Intensivo IV
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2023927,"Inglés IV- intensivo
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
1000047-B,Inglés IV- Semestral,3,NIVELACIÓN (E)
1000051-B,"Inglés IV- Virtual
ASIGNATURA SIN PROGRAMAR",3,NIVELACIÓN (E)
2016748,Inteligencia artificial,3,DISCIPLINAR OBLIGATORIA (C)
2025972,Introducción a la criptografía y a la seguridad de la Información,3,DISCIPLINAR OPTATIVA (T)
2025975,Introducción a la ingeniería de sistemas y computación,3,DISCIPLINAR OBLIGATORIA (C)
2015174,Introducción a la teoría de la computación,4,FUND. OBLIGATORIA (B)
2026573,Introducción a las ciencias de la computación y a la programación,3,DISCIPLINAR OPTATIVA (T)
2025995,Introducción a los sistemas inteligentes,3,DISCIPLINAR OBLIGATORIA (C)
1000002-B,Lecto-Escritura,4,NIVELACIÓN (E)
2025966,Lenguajes de programación,3,DISCIPLINAR OBLIGATORIA (C)
1000001-B,Matemáticas Básicas,4,NIVELACIÓN (E)
2025963,Matemáticas discretas I,4,FUND. OPTATIVA (O)
2025964,Matemáticas discretas II,4,FUND. OPTATIVA (O)
2015970,Métodos numéricos,3,FUND. OPTATIVA (O)
2025969,Modelos estocásticos y simulación en computación y comunicaciones,3,DISCIPLINAR OBLIGATORIA (C)
2025970,Modelos y simulación,3,DISCIPLINAR OPTATIVA (T)
2025971,Optimización,3,DISCIPLINAR OPTATIVA (T)
2016703,Pensamiento sistémico,3,DISCIPLINAR OBLIGATORIA (C)
2015178,Probabilidad,4,FUND. OPTATIVA (O)
1000013-B,Probabilidad y estadística fundamental,3,FUND. OPTATIVA (O)
2015734,Programación de computadores,3,DISCIPLINAR OPTATIVA (T)
2016375,Programación orientada a objetos,3,DISCIPLINAR OBLIGATORIA (C)
2025967,Redes de computadores,3,DISCIPLINAR OBLIGATORIA (C)
2025982,Sistemas de información,3,DISCIPLINAR OPTATIVA (T)
2016053,Sistemas de Información Gerencial,4,DISCIPLINAR OPTATIVA (T)
2016707,Sistemas operativos,3,DISCIPLINAR OBLIGATORIA (C)
1000074-B,"Suficiencia en lengua extranjera
ASIGNATURA SIN PROGRAMAR",12,NIVELACIÓN (E)
2024045,Taller de proyectos interdisciplinarios,3,DISCIPLINAR OBLIGATORIA (C)
2015184,"Teoría de grafos
ASIGNATURA SIN PROGRAMAR",4,FUND. OPTATIVA (O)
2016708,"Teoría de la computación
ASIGNATURA SIN PROGRAMAR",3,FUND. OBLIGATORIA (B)
2025994,Teoría de la información y sistemas de comunicacion,3,DISCIPLINAR OPTATIVA (T)
2016842,"Trabajo de Grado
ASIGNATURA SIN PROGRAMAR",6,TRABAJO DE GRADO (P)
2016843,Trabajo de grado - asignaturas de posgrado,6,TRABAJO DE GRADO (P)
2025973,Trabajo de grado - modalidad practica de extensión,6,TRABAJO DE GRADO (P)
2025974,Trabajo de grado - modalidad trabajos investigativos,6,TRABAJO DE GRADO (P)